Grand Prix,Driver,Car,Time,DriverCode,Year
Germany,Juan Manuel Fangio,Maserati,9:17.400,FAN,1957
Pescara,Stirling Moss,Vanwall,9:44.600,MOS,1957
Italy,Tony Brooks,Vanwall,1:43.700,BRO,1957
Argentina,Juan Manuel Fangio,Maserati,1:41.800,FAN,1958
Monaco,Mike Hawthorn,Ferrari,1:40.600,HAW,1958
Netherlands,Stirling Moss,Vanwall,1:37.600,MOS,1958
Indianapolis 500,Tony Bettenhausen,Epperly Offenhauser,1:02.370,BET,1958
Belgium,Mike Hawthorn,Ferrari,3:58.300,HAW,1958
France,Mike Hawthorn,Ferrari,2:24.900,HAW,1958
Great Britain,Mike Hawthorn,Ferrari,1:40.800,HAW,1958
Germany,Stirling Moss,Vanwall,9:09.200,MOS,1958
Portugal,Mike Hawthorn,Ferrari,2:32.270,HAW,1958
Italy,Phil Hill,Ferrari,1:42.900,HIL,1958
Morocco,Stirling Moss,Vanwall,2:22.500,MOS,1958
Monaco,Jack Brabham,Cooper Climax,1:40.400,BRA,1959
Indianapolis 500,Johnny Thomson,Lesovsky Offenhauser,1:01.890,THO,1959
Netherlands,Stirling Moss,Cooper Climax,1:36.700,MOS,1959
France,Stirling Moss,BRM,2:22.800,MOS,1959
Great Britain,Stirling Moss,BRM,1:57.000,MOS,1959
Germany,Tony Brooks,Ferrari,2:04.500,BRO,1959
Portugal,Stirling Moss,Cooper Climax,2:05.070,MOS,1959
Italy,Phil Hill,Ferrari,1:40.400,HIL,1959
United States,Maurice Trintignant,Cooper Climax,3:05.000,TRI,1959
Argentina,Stirling Moss,Cooper Climax,1:38.900,MOS,1960
Monaco,Bruce McLaren,Lotus Climax,1:36.200,MCL,1960
Indianapolis 500,Jim Rathmann,Watson Offenhauser,1:01.590,RAT,1960
Netherlands,Stirling Moss,Lotus Climax,1:33.800,MOS,1960
Belgium,Phil Hill,Ferrari,3:51.900,HIL,1960
France,Jack Brabham,Cooper Climax,2:17.500,BRA,1960
Great Britain,Graham Hill,BRM,1:34.400,HIL,1960
Portugal,John Surtees,Lotus Climax,2:27.530,SUR,1960
Italy,Phil Hill,Ferrari,2:43.600,HIL,1960
United States,Jack Brabham,Cooper Climax,1:56.300,BRA,1960
Monaco,Richie Ginther,Ferrari,1:36.300,GIN,1961
Netherlands,Jim Clark,Lotus Climax,1:35.500,CLA,1961
Belgium,Richie Ginther,Ferrari,3:59.800,GIN,1961
France,Phil Hill,Ferrari,2:27.100,HIL,1961
Great Britain,Tony Brooks,BRM Climax,1:57.800,BRO,1961
Germany,Phil Hill,Ferrari,8:57.800,HIL,1961
Italy,Giancarlo Baghetti,Ferrari,2:48.400,BAG,1961
United States,Jack Brabham,Cooper Climax,1:18.200,BRA,1961
Netherlands,Bruce McLaren,Cooper Climax,1:34.400,MCL,1962
Monaco,Jim Clark,Lotus Climax,1:35.500,CLA,1962
Belgium,Jim Clark,Lotus Climax,3:55.600,CLA,1962
France,Graham Hill,BRM,2:16.900,HIL,1962
Great Britain,Jim Clark,Lotus Climax,1:55.000,CLA,1962
Germany,Graham Hill,BRM,10:12.200,HIL,1962
Italy,Graham Hill,BRM,1:42.300,HIL,1962
United States,Jim Clark,Lotus Climax,1:15.000,CLA,1962
South Africa,Jim Clark,Lotus Climax,1:31.000,CLA,1962
Monaco,John Surtees,Ferrari,1:34.500,SUR,1963
Belgium,Jim Clark,Lotus Climax,3:58.100,CLA,1963
Netherlands,Jim Clark,Lotus Climax,1:33.700,CLA,1963
France,Jim Clark,Lotus Climax,2:21.600,CLA,1963
Great Britain,John Surtees,Ferrari,1:36.000,SUR,1963
Germany,John Surtees,Ferrari,8:47.000,SUR,1963
Italy,Jim Clark,Lotus Climax,1:38.900,CLA,1963
United States,Jim Clark,Lotus Climax,1:14.500,CLA,1963
Mexico,Jim Clark,Lotus Climax,1:58.100,CLA,1963
South Africa,Dan Gurney,Brabham Climax,1:29.100,GUR,1963
Monaco,Graham Hill,BRM,1:33.900,HIL,1964
Netherlands,Jim Clark,Lotus Climax,1:32.800,CLA,1964
Belgium,Dan Gurney,Brabham Ford,3:49.200,GUR,1964
France,Jack Brabham,Brabham Ford,2:11.400,BRA,1964
Great Britain,Jim Clark,Lotus Climax,1:38.800,CLA,1964
Germany,John Surtees,Ferrari,8:39.000,SUR,1964
Austria,Dan Gurney,Brabham Ford,1:10.560,GUR,1964
Italy,John Surtees,Ferrari,1:38.800,SUR,1964
United States,Jim Clark,Lotus Climax,1:12.700,CLA,1964
Mexico,Jim Clark,Lotus Climax,1:58.370,CLA,1964
South Africa,Jim Clark,Lotus Climax,1:27.600,CLA,1965
Monaco,Graham Hill,BRM,1:31.700,HIL,1965
Belgium,Jim Clark,Lotus Climax,4:12.900,CLA,1965
France,Jim Clark,Lotus Climax,3:18.900,CLA,1965
Great Britain,Graham Hill,BRM,1:32.200,HIL,1965
Netherlands,Jim Clark,Lotus Climax,1:30.600,CLA,1965
Germany,Jim Clark,Lotus Climax,8:24.100,CLA,1965
Italy,Jim Clark,Lotus Climax,1:36.400,CLA,1965
United States,Graham Hill,BRM,1:11.900,HIL,1965
Mexico,Dan Gurney,Brabham Climax,1:55.840,GUR,1965
Monaco,Lorenzo Bandini,Ferrari,1:29.800,BAN,1966
Belgium,John Surtees,Ferrari,4:18.700,SUR,1966
France,Lorenzo Bandini,Ferrari,2:11.300,BAN,1966
Great Britain,Jack Brabham,Brabham Climax,1:37.000,BRA,1966
Netherlands,Denny Hulme,Brabham Climax,1:30.600,HUL,1966
Germany,John Surtees,Cooper Maserati,8:49.000,SUR,1966
Italy,Ludovico Scarfiotti,Ferrari,1:32.400,SCA,1966
United States,John Surtees,Cooper Maserati,1:09.670,SUR,1966
Mexico,Richie Ginther,Honda,1:53.750,GIN,1966
South Africa,Denny Hulme,Brabham Repco,1:29.900,HUL,1967
Monaco,Jim Clark,Lotus Climax,1:29.500,CLA,1967
